District,City,Store_ID,Store_Type,Product_Name,Category,Brand,Units_Sold,Revenue,Profit,Price,Stock_Level,Reorder_Level,Supplier,Delivery_Time_Days,Order_Date
Tiruchirappalli,Tiruchirappalli,TN-TIR-807,Hypermarket,Garbage Bags,Home Care,Supreme,23,23110.86,3848,1004.82,151,160,HUL,1,23-09-2024
Namakkal,Namakkal,TN-NAM-466,Hypermarket,Shampoo 340ml,Personal Care,Clinic Plus,57,24928.38,4037.82,437.34,895,154,Metro Cash & Carry,3,29-04-2024
Tirunelveli,Tirunelveli,TN-TIR-522,Supermarket,Tea 500g,Beverages,Tata Tea,175,165063.5,21844.94,943.22,685,271,Local Distributor,4,30-06-2024
Tirunelveli,Tirunelveli,TN-TIR-491,Supermarket,Detergent 1kg,Home Care,Surf Excel,118,30149,7045.53,255.5,358,128,HUL,4,18-02-2023
Erode,Gobichettipalayam,TN-ERO-436,Convenience,Sunflower Oil 1L,Cooking Oil,Gold Winner,147,63849.45,9697.53,434.35,695,265,Metro Cash & Carry,6,26-02-2023
Tiruchirappalli,Srirangam,TN-TIR-282,Mall Outlet,Bath Soap (Pack),Personal Care,Lux,24,3550.08,486.05,147.92,746,251,P&G,7,13-11-2025
Tiruchirappalli,Srirangam,TN-TIR-690,Hypermarket,Bath Soap (Pack),Personal Care,Lux,27,23121.99,1163.92,856.37,947,256,Metro Cash & Carry,4,15-01-2025
Kanchipuram,Kanchipuram,TN-KAN-780,Convenience,Soft Drink 2L,Beverages,Coca-Cola,165,132462,9924.72,802.8,921,126,Metro Cash & Carry,5,16-04-2025
Dindigul,Palani,TN-DIN-813,Convenience,Garbage Bags,Home Care,Supreme,70,17245.9,3155.76,246.37,388,223,Local Distributor,3,08-09-2024
Cuddalore,Cuddalore,TN-CUD-411,Convenience,Coffee 200g,Beverages,Bru,225,213120,36514.34,947.2,329,169,Reliance Retail,8,13-03-2024
Nagapattinam,Mayiladuthurai,TN-NAG-912,Hypermarket,Sunflower Oil 1L,Cooking Oil,Gold Winner,150,94234.5,16640.7,628.23,343,73,HUL,5,05-04-2024
Erode,Erode,TN-ERO-125,Supermarket,Shampoo 340ml,Personal Care,Clinic Plus,248,183842.4,37448.3,741.3,466,156,Local Distributor,10,03-02-2024
Cuddalore,Chidambaram,TN-CUD-509,Hypermarket,Sugar 1kg,Staples,Madhur,7,7513.38,1668.63,1073.34,906,77,Reliance Retail,4,27-12-2023
Nagapattinam,Mayiladuthurai,TN-NAG-151,Mall Outlet,Shampoo 340ml,Personal Care,Clinic Plus,67,37427.54,7870.39,558.62,683,185,Metro Cash & Carry,10,11-10-2024
Tiruvallur,Avadi,TN-TIR-950,Mall Outlet,Paneer 200g,Dairy,Milky Mist,86,77185.86,11186.92,897.51,265,242,HUL,5,03-12-2025
Karur,Karur,TN-KAR-381,Wholesale,Sunflower Oil 1L,Cooking Oil,Gold Winner,151,44801.7,5249.39,296.7,914,188,ITC,3,05-11-2023
Vellore,Katpadi,TN-VEL-810,Hypermarket,Coffee 200g,Beverages,Bru,37,18852.98,2190.27,509.54,477,156,ITC,4,10-05-2025
Cuddalore,Cuddalore,TN-CUD-977,Mall Outlet,Milk 1L,Dairy,Aavin,249,6713.04,807.93,26.96,771,149,Reliance Retail,9,27-03-2024
Karur,Karur,TN-KAR-379,Wholesale,Detergent 1kg,Home Care,Surf Excel,19,9098.15,1672.01,478.85,817,153,Local Distributor,3,15-08-2025
Salem,Salem,TN-SAL-503,Mall Outlet,Mineral Water 1L,Beverages,Bisleri,18,2143.08,290.86,119.06,887,168,HUL,1,16-06-2024
Cuddalore,Chidambaram,TN-CUD-316,Wholesale,Biscuits Family Pack,Snacks,Britannia,177,162530.25,20450.41,918.25,770,293,Reliance Retail,5,17-06-2023
Karur,Karur,TN-KAR-867,Mall Outlet,Wheat Flour 1kg,Staples,Annapurna,184,52362.72,3336.74,284.58,980,216,ITC,1,21-05-2024
Erode,Erode,TN-ERO-736,Hypermarket,Shampoo 340ml,Personal Care,Clinic Plus,69,39937.2,2910.54,578.8,970,105,Reliance Retail,5,25-01-2025
Tirunelveli,Tirunelveli,TN-TIR-896,Hypermarket,Toothpaste 150g,Personal Care,Colgate,60,42171,9942.97,702.85,589,223,Reliance Retail,7,11-02-2024
Madurai,Madurai,TN-MAD-204,Convenience,Soft Drink 2L,Beverages,Coca-Cola,66,63330.3,10334.65,959.55,42,138,Metro Cash & Carry,7,28-01-2025
Madurai,Thirumangalam,TN-MAD-112,Wholesale,Detergent 1kg,Home Care,Surf Excel,59,31362.04,3839.89,531.56,912,262,Reliance Retail,3,10-06-2025
Tirunelveli,Palayamkottai,TN-TIR-730,Mall Outlet,Detergent 1kg,Home Care,Surf Excel,243,129757.14,25459.03,533.98,274,132,HUL,2,25-07-2024
Tiruvallur,Tiruvallur,TN-TIR-868,Wholesale,Mineral Water 1L,Beverages,Bisleri,199,82973.05,12351.48,416.95,332,96,Reliance Retail,4,27-12-2024
Thoothukudi,Thoothukudi,TN-THO-386,Mall Outlet,Bath Soap (Pack),Personal Care,Lux,289,9242.22,2214.55,31.98,87,111,Local Distributor,7,27-09-2025
Pudukkottai,Pudukkottai,TN-PUD-807,Wholesale,Detergent 1kg,Home Care,Surf Excel,234,223624.44,15343.02,955.66,226,153,Local Distributor,4,19-09-2024
Sivaganga,Karaikudi,TN-SIV-584,Mall Outlet,Floor Cleaner 1L,Home Care,Lizol,181,94498.29,18822.84,522.09,338,140,Local Distributor,8,08-07-2024
Thanjavur,Kumbakonam,TN-THA-336,Supermarket,Coffee 200g,Beverages,Bru,166,26737.62,4202.43,161.07,780,226,HUL,4,19-03-2024
Karur,Karur,TN-KAR-841,Mall Outlet,Floor Cleaner 1L,Home Care,Lizol,149,175373,37972.76,1177,303,108,P&G,3,11-09-2024
Chennai,Chennai,TN-CHE-380,Supermarket,Wheat Flour 1kg,Staples,Annapurna,288,105039.36,25085.28,364.72,653,272,Reliance Retail,2,26-01-2023
Sivaganga,Karaikudi,TN-SIV-580,Wholesale,Paneer 200g,Dairy,Milky Mist,179,42521.45,2563,237.55,963,270,Reliance Retail,2,14-05-2023
Cuddalore,Chidambaram,TN-CUD-175,Mall Outlet,Wheat Flour 1kg,Staples,Annapurna,82,16076.1,2613.46,196.05,311,71,HUL,2,02-05-2025
Virudhunagar,Virudhunagar,TN-VIR-894,Mall Outlet,Milk 1L,Dairy,Aavin,235,256629.4,28093.38,1092.04,602,159,P&G,10,04-05-2023
Virudhunagar,Virudhunagar,TN-VIR-881,Hypermarket,Coffee 200g,Beverages,Bru,140,111903.4,9110.21,799.31,177,191,ITC,3,06-01-2023
Kanchipuram,Chengalpattu,TN-KAN-805,Mall Outlet,Detergent 1kg,Home Care,Surf Excel,154,9012.08,969.89,58.52,289,229,Reliance Retail,2,23-04-2024
Thoothukudi,Thoothukudi,TN-THO-535,Supermarket,Garbage Bags,Home Care,Supreme,120,94105.2,21802.51,784.21,846,86,ITC,1,06-12-2023
Thanjavur,Kumbakonam,TN-THA-549,Supermarket,Paneer 200g,Dairy,Milky Mist,160,135310.4,32276.3,845.69,512,188,Reliance Retail,8,14-06-2023
Virudhunagar,Virudhunagar,TN-VIR-542,Convenience,Soft Drink 2L,Beverages,Coca-Cola,133,6719.16,643.59,50.52,690,264,Metro Cash & Carry,10,12-02-2023
Thoothukudi,Thoothukudi,TN-THO-881,Hypermarket,Detergent 1kg,Home Care,Surf Excel,270,212970.6,49667.84,788.78,185,199,Reliance Retail,8,06-07-2023
Karur,Karur,TN-KAR-518,Convenience,Biscuits Family Pack,Snacks,Britannia,58,59863.54,6941.82,1032.13,710,176,P&G,7,17-03-2023
Tiruvallur,Tiruvallur,TN-TIR-422,Convenience,Biscuits Family Pack,Snacks,Britannia,64,74548.48,9753.55,1164.82,526,261,ITC,9,04-08-2025
Kanchipuram,Kanchipuram,TN-KAN-292,Mall Outlet,Instant Noodles 4-pack,Snacks,Maggi,260,197074.8,39808.74,757.98,208,118,Metro Cash & Carry,3,12-08-2024
Tiruvallur,Avadi,TN-TIR-224,Supermarket,Soft Drink 2L,Beverages,Coca-Cola,127,108907.58,12213.99,857.54,14,191,Reliance Retail,2,05-04-2024
Tiruchirappalli,Srirangam,TN-TIR-220,Hypermarket,Detergent 1kg,Home Care,Surf Excel,154,95552.38,10002.9,620.47,854,173,Reliance Retail,4,24-07-2025
Pudukkottai,Pudukkottai,TN-PUD-492,Hypermarket,Soft Drink 2L,Beverages,Coca-Cola,265,238666.95,18449.35,900.63,71,120,Reliance Retail,6,05-11-2025
Thoothukudi,Thoothukudi,TN-THO-389,Convenience,Mineral Water 1L,Beverages,Bisleri,255,265457.55,36980.75,1041.01,495,138,P&G,9,11-02-2025
Tiruvallur,Avadi,TN-TIR-990,Hypermarket,Shampoo 340ml,Personal Care,Clinic Plus,297,140157.27,31003.15,471.91,420,61,P&G,8,19-02-2025
Cuddalore,Cuddalore,TN-CUD-607,Supermarket,Sugar 1kg,Staples,Madhur,262,303689.44,35349.13,1159.12,102,273,Reliance Retail,2,13-12-2025
Tiruvallur,Tiruvallur,TN-TIR-839,Hypermarket,Curd 500g,Dairy,Aavin,84,9097.2,1876.8,108.3,271,136,Metro Cash & Carry,7,14-06-2023
Dindigul,Palani,TN-DIN-424,Wholesale,Garbage Bags,Home Care,Supreme,23,17217.8,1669.34,748.6,700,285,P&G,4,05-07-2023
Kanchipuram,Kanchipuram,TN-KAN-878,Supermarket,Paneer 200g,Dairy,Milky Mist,90,75502.8,17417.35,838.92,47,133,ITC,5,04-01-2025
Namakkal,Rasipuram,TN-NAM-249,Hypermarket,Floor Cleaner 1L,Home Care,Lizol,215,147877,30832.93,687.8,174,94,ITC,10,22-02-2025
Virudhunagar,Virudhunagar,TN-VIR-609,Mall Outlet,Sugar 1kg,Staples,Madhur,123,69391.68,6994.37,564.16,261,220,ITC,8,12-08-2024
Pudukkottai,Pudukkottai,TN-PUD-175,Wholesale,Instant Noodles 4-pack,Snacks,Maggi,158,122284.1,16491.45,773.95,256,166,P&G,4,26-02-2025
Karur,Karur,TN-KAR-342,Wholesale,Mineral Water 1L,Beverages,Bisleri,188,131276.64,32627.29,698.28,302,55,Local Distributor,7,16-07-2024
Chennai,Chennai,TN-CHE-720,Wholesale,Toothpaste 150g,Personal Care,Colgate,122,89833.48,10821.72,736.34,651,98,Metro Cash & Carry,5,08-10-2023
Tiruchirappalli,Tiruchirappalli,TN-TIR-416,Wholesale,Wheat Flour 1kg,Staples,Annapurna,191,168878.38,11488.23,884.18,302,133,Local Distributor,7,26-12-2023
Erode,Erode,TN-ERO-905,Mall Outlet,Instant Noodles 4-pack,Snacks,Maggi,276,168945.12,17655.69,612.12,168,115,Reliance Retail,5,24-11-2024
Tiruchirappalli,Srirangam,TN-TIR-177,Hypermarket,Shampoo 340ml,Personal Care,Clinic Plus,208,241567.04,50950.72,1161.38,374,73,Reliance Retail,1,25-06-2024
Pudukkottai,Pudukkottai,TN-PUD-565,Convenience,Bath Soap (Pack),Personal Care,Lux,200,198090,47156.98,990.45,110,222,HUL,8,21-02-2023
Virudhunagar,Sivakasi,TN-VIR-724,Hypermarket,Sunflower Oil 1L,Cooking Oil,Gold Winner,242,264525.36,29213.66,1093.08,418,79,HUL,1,18-03-2023
Thanjavur,Kumbakonam,TN-THA-218,Supermarket,Shampoo 340ml,Personal Care,Clinic Plus,280,50422.4,7095.88,180.08,686,293,Local Distributor,9,08-05-2025
Sivaganga,Sivaganga,TN-SIV-524,Supermarket,Detergent 1kg,Home Care,Surf Excel,213,240281.04,25457.3,1128.08,706,144,HUL,8,29-06-2025
Vellore,Katpadi,TN-VEL-201,Convenience,Garbage Bags,Home Care,Supreme,188,17192.6,1808.25,91.45,991,81,Reliance Retail,2,10-03-2024
Virudhunagar,Virudhunagar,TN-VIR-151,Convenience,Shampoo 340ml,Personal Care,Clinic Plus,69,65455.47,5959.14,948.63,849,245,Metro Cash & Carry,4,18-03-2024
Vellore,Katpadi,TN-VEL-892,Hypermarket,Soft Drink 2L,Beverages,Coca-Cola,6,2083.08,514.12,347.18,133,188,P&G,3,14-08-2023
Chennai,Chennai,TN-CHE-115,Convenience,Shampoo 340ml,Personal Care,Clinic Plus,170,6565.4,676.72,38.62,129,239,Reliance Retail,9,21-08-2023
Madurai,Thirumangalam,TN-MAD-559,Convenience,Floor Cleaner 1L,Home Care,Lizol,60,33202.2,3131.3,553.37,629,61,Local Distributor,9,09-09-2024
Tiruvallur,Tiruvallur,TN-TIR-162,Wholesale,Milk 1L,Dairy,Aavin,223,185000.8,27390.07,829.6,931,163,ITC,2,21-10-2024
Virudhunagar,Virudhunagar,TN-VIR-167,Hypermarket,Bath Soap (Pack),Personal Care,Lux,285,245196.9,30939.16,860.34,611,185,P&G,8,01-11-2025
Virudhunagar,Sivakasi,TN-VIR-201,Supermarket,Garbage Bags,Home Care,Supreme,115,60660.2,13807.37,527.48,423,136,Reliance Retail,7,01-05-2025
Tiruchirappalli,Srirangam,TN-TIR-537,Convenience,Bath Soap (Pack),Personal Care,Lux,196,224467.04,42057.09,1145.24,485,67,ITC,2,10-07-2023
Kanchipuram,Kanchipuram,TN-KAN-862,Convenience,Sugar 1kg,Staples,Madhur,289,26235.42,6331.26,90.78,575,134,Local Distributor,2,21-04-2025
Namakkal,Rasipuram,TN-NAM-988,Supermarket,Toothpaste 150g,Personal Care,Colgate,164,71330.16,11811.11,434.94,217,89,Local Distributor,8,04-04-2024
Tiruchirappalli,Srirangam,TN-TIR-965,Mall Outlet,Instant Noodles 4-pack,Snacks,Maggi,63,57951.81,9551.62,919.87,826,159,Metro Cash & Carry,10,23-02-2023
Virudhunagar,Sivakasi,TN-VIR-129,Hypermarket,Bath Soap (Pack),Personal Care,Lux,163,180507.83,21697.89,1107.41,185,272,HUL,10,31-03-2025
Madurai,Madurai,TN-MAD-858,Supermarket,Sunflower Oil 1L,Cooking Oil,Gold Winner,276,75585.36,10125.91,273.86,349,90,P&G,5,26-10-2024
Sivaganga,Sivaganga,TN-SIV-153,Hypermarket,Tea 500g,Beverages,Tata Tea,30,24458.4,2553.96,815.28,677,158,Reliance Retail,10,24-06-2025
Kanchipuram,Chengalpattu,TN-KAN-320,Mall Outlet,Toor Dal 1kg,Pulses,24 Mantra,181,95441.3,10178.75,527.3,694,201,Reliance Retail,9,23-09-2024
Coimbatore,Coimbatore,TN-COI-504,Mall Outlet,Wheat Flour 1kg,Staples,Annapurna,8,2089.76,499.59,261.22,785,85,P&G,5,02-11-2024
Tiruchirappalli,Tiruchirappalli,TN-TIR-609,Wholesale,Tea 500g,Beverages,Tata Tea,71,33273.44,6346.38,468.64,512,193,Local Distributor,6,28-05-2023
Cuddalore,Cuddalore,TN-CUD-546,Supermarket,Paneer 200g,Dairy,Milky Mist,44,45640.76,7537.66,1037.29,587,153,Local Distributor,7,15-08-2024
Tiruchirappalli,Srirangam,TN-TIR-121,Convenience,Tea 500g,Beverages,Tata Tea,240,240429.6,56249.45,1001.79,90,161,ITC,4,11-06-2025
Sivaganga,Karaikudi,TN-SIV-636,Supermarket,Milk 1L,Dairy,Aavin,163,146708.15,13836.69,900.05,797,93,ITC,9,22-08-2023
Nagapattinam,Nagapattinam,TN-NAG-894,Convenience,Instant Noodles 4-pack,Snacks,Maggi,80,23904,1895.32,298.8,202,94,Metro Cash & Carry,3,04-06-2023
Tirunelveli,Palayamkottai,TN-TIR-575,Mall Outlet,Mineral Water 1L,Beverages,Bisleri,234,192755.16,43641.62,823.74,658,212,Metro Cash & Carry,6,09-10-2024
Salem,Attur,TN-SAL-169,Wholesale,Paneer 200g,Dairy,Milky Mist,160,153547.2,25839.53,959.67,360,179,ITC,5,03-08-2025
Tiruvallur,Tiruvallur,TN-TIR-158,Convenience,Toothpaste 150g,Personal Care,Colgate,44,34351.24,8432.33,780.71,92,207,Metro Cash & Carry,9,26-02-2025
Tiruvallur,Tiruvallur,TN-TIR-560,Mall Outlet,Coffee 200g,Beverages,Bru,169,124030.79,18638.54,733.91,980,65,Reliance Retail,2,04-12-2024
Madurai,Madurai,TN-MAD-140,Hypermarket,Paneer 200g,Dairy,Milky Mist,229,146193.6,25139.61,638.4,372,145,P&G,7,17-04-2025
Dindigul,Dindigul,TN-DIN-908,Convenience,Sunflower Oil 1L,Cooking Oil,Gold Winner,173,22752.96,4224.68,131.52,290,114,Local Distributor,10,04-11-2023
Dindigul,Dindigul,TN-DIN-696,Hypermarket,Instant Noodles 4-pack,Snacks,Maggi,163,189386.44,35925.85,1161.88,401,83,Metro Cash & Carry,2,26-09-2024
Pudukkottai,Pudukkottai,TN-PUD-758,Convenience,Sugar 1kg,Staples,Madhur,274,35693.98,6570.95,130.27,520,142,ITC,6,24-09-2024
Tirunelveli,Tirunelveli,TN-TIR-449,Wholesale,Coffee 200g,Beverages,Bru,120,143996.4,11662.13,1199.97,302,266,ITC,9,14-12-2025
Coimbatore,Pollachi,TN-COI-444,Mall Outlet,Sugar 1kg,Staples,Madhur,197,39797.94,3429.36,202.02,709,247,Metro Cash & Carry,3,15-06-2025
Coimbatore,Mettupalayam,TN-COI-473,Hypermarket,Paneer 200g,Dairy,Milky Mist,150,136173,28155.14,907.82,239,186,HUL,5,18-08-2025
Erode,Gobichettipalayam,TN-ERO-794,Mall Outlet,Paneer 200g,Dairy,Milky Mist,241,223633.54,45984.6,927.94,514,185,Reliance Retail,3,13-02-2024
Virudhunagar,Virudhunagar,TN-VIR-993,Convenience,Wheat Flour 1kg,Staples,Annapurna,251,263916.46,42466.31,1051.46,105,232,Metro Cash & Carry,2,06-08-2024
Madurai,Madurai,TN-MAD-379,Wholesale,Floor Cleaner 1L,Home Care,Lizol,80,80051.2,5470.92,1000.64,932,106,Reliance Retail,6,24-02-2023
Kanchipuram,Kanchipuram,TN-KAN-505,Mall Outlet,Instant Noodles 4-pack,Snacks,Maggi,125,59460,3943.45,475.68,229,57,P&G,2,17-11-2024
Salem,Salem,TN-SAL-139,Convenience,Detergent 1kg,Home Care,Surf Excel,76,69572.68,10006.08,915.43,630,51,ITC,1,08-06-2024
Erode,Erode,TN-ERO-661,Mall Outlet,Floor Cleaner 1L,Home Care,Lizol,221,33415.2,3596.15,151.2,308,81,ITC,4,09-05-2025
Virudhunagar,Sivakasi,TN-VIR-164,Supermarket,Detergent 1kg,Home Care,Surf Excel,279,10989.81,1682.27,39.39,247,233,HUL,5,29-05-2025
Chennai,Chennai,TN-CHE-346,Mall Outlet,Curd 500g,Dairy,Aavin,100,80396,5396.4,803.96,998,142,ITC,9,05-11-2025
Nagapattinam,Nagapattinam,TN-NAG-499,Wholesale,Wheat Flour 1kg,Staples,Annapurna,203,239058.89,24080.41,1177.63,16,141,ITC,6,08-05-2024
Tiruchirappalli,Srirangam,TN-TIR-236,Supermarket,Instant Noodles 4-pack,Snacks,Maggi,284,119135.16,21272.67,419.49,850,249,Local Distributor,8,07-09-2025
Tirunelveli,Tirunelveli,TN-TIR-164,Wholesale,Wheat Flour 1kg,Staples,Annapurna,155,39971.4,8322.92,257.88,907,60,P&G,5,21-11-2025
Cuddalore,Chidambaram,TN-CUD-359,Supermarket,Coffee 200g,Beverages,Bru,151,66625.73,13736.11,441.23,886,217,P&G,5,12-09-2023
Namakkal,Rasipuram,TN-NAM-509,Wholesale,Milk 1L,Dairy,Aavin,178,208080.22,31054.03,1168.99,509,144,Metro Cash & Carry,5,19-06-2023
Kanchipuram,Kanchipuram,TN-KAN-540,Mall Outlet,Tea 500g,Beverages,Tata Tea,284,104125.76,7342.91,366.64,335,219,P&G,5,02-07-2025
Virudhunagar,Sivakasi,TN-VIR-270,Wholesale,Instant Noodles 4-pack,Snacks,Maggi,233,16305.34,3652.52,69.98,361,207,Reliance Retail,5,28-04-2023
Madurai,Thirumangalam,TN-MAD-472,Mall Outlet,Tea 500g,Beverages,Tata Tea,20,3769.6,646.54,188.48,800,162,ITC,3,18-05-2023
Vellore,Katpadi,TN-VEL-470,Wholesale,Mineral Water 1L,Beverages,Bisleri,21,15414.21,2864.15,734.01,971,144,P&G,8,07-06-2023
Sivaganga,Sivaganga,TN-SIV-642,Convenience,Milk 1L,Dairy,Aavin,165,129769.2,12966.84,786.48,116,56,Local Distributor,3,19-10-2025
Nagapattinam,Mayiladuthurai,TN-NAG-675,Supermarket,Bath Soap (Pack),Personal Care,Lux,138,117404.88,10908.57,850.76,626,123,Local Distributor,8,14-02-2024
Tiruchirappalli,Tiruchirappalli,TN-TIR-973,Supermarket,Paneer 200g,Dairy,Milky Mist,93,100480.92,13969.08,1080.44,89,257,Local Distributor,6,12-12-2024
Madurai,Thirumangalam,TN-MAD-407,Hypermarket,Tea 500g,Beverages,Tata Tea,190,117862.7,8753.96,620.33,205,252,HUL,4,08-10-2025
Chennai,Chennai,TN-CHE-667,Mall Outlet,Instant Noodles 4-pack,Snacks,Maggi,244,236270.08,37881.04,968.32,626,276,ITC,2,25-09-2024
Cuddalore,Chidambaram,TN-CUD-638,Wholesale,Curd 500g,Dairy,Aavin,299,32001.97,7823.71,107.03,657,68,Reliance Retail,8,25-11-2025
Namakkal,Namakkal,TN-NAM-999,Mall Outlet,Mineral Water 1L,Beverages,Bisleri,98,90746.04,6879.15,925.98,514,283,ITC,2,27-11-2025
Salem,Attur,TN-SAL-268,Hypermarket,Biscuits Family Pack,Snacks,Britannia,120,51397.2,12241.83,428.31,916,122,ITC,5,07-02-2024
Pudukkottai,Pudukkottai,TN-PUD-228,Convenience,Soft Drink 2L,Beverages,Coca-Cola,278,36209.5,6452.44,130.25,606,291,Metro Cash & Carry,3,17-12-2023
Virudhunagar,Sivakasi,TN-VIR-962,Mall Outlet,Wheat Flour 1kg,Staples,Annapurna,19,2200.96,527.59,115.84,789,197,P&G,4,03-05-2025
Virudhunagar,Virudhunagar,TN-VIR-609,Mall Outlet,Toothpaste 150g,Personal Care,Colgate,159,93789.33,19783.7,589.87,701,153,P&G,8,30-05-2023
Coimbatore,Coimbatore,TN-COI-550,Wholesale,Detergent 1kg,Home Care,Surf Excel,242,63101.5,10811.31,260.75,320,270,Local Distributor,6,08-12-2024
Cuddalore,Cuddalore,TN-CUD-878,Convenience,Floor Cleaner 1L,Home Care,Lizol,292,42427.6,4172.65,145.3,125,118,Reliance Retail,4,16-10-2023
Tiruchirappalli,Tiruchirappalli,TN-TIR-397,Wholesale,Soft Drink 2L,Beverages,Coca-Cola,219,68538.24,15288.24,312.96,163,258,P&G,10,02-10-2024
